id,rank,overallRating,firstName,lastName,commonName,birthdate,height,weight,skillMoves,weakFootAbility,preferredFoot,position,positionType,alternatePositions,nationality,team,leagueName,playStyles,playStylesPlus,pac,sho,pas,dri,def,phy,acceleration,sprintSpeed,finishing,shotPower,longShots,volleys,penalties,positioning,shortPassing,longPassing,curve,freeKickAccuracy,crossing,vision,dribbling,ballControl,agility,balance,reactions,composure,interceptions,defensiveAwareness,standingTackle,slidingTackle,headingAccuracy,aggression,jumping,stamina,strength,gkDiving,gkHandling,gkKicking,gkPositioning,gkReflexes
190871,52,87,Neymar,Jr,,,175,68,5,5,1,LW,Attack,"CAM, LM",Brazil,Al Hilal,ROSHN Saudi League,"First Touch,Flair,Incisive Pass,Technical,Trivela",Trickster,85,79,84,92,37,60,86,84,80,77,75,84,85,81,85,80,86,87,81,85,94,93,90,83,78,92,37,35,32,29,63,63,72,73,52,,,,,
234378,53,87,Declan,Rice,,,185,80,3,3,1,CDM,Midfielder,CM,England,Arsenal,Premier League,"Block,Intercept,Long Ball Pass,Press Proven",,73,72,82,79,84,85,71,75,64,84,82,50,71,71,85,86,81,65,79,79,82,84,55,65,85,86,86,85,86,85,72,85,82,92,81,,,,,
228702,55,87,Frenkie,de Jong,,,181,74,4,3,1,CM,Midfielder,CDM,Holland,FC Barcelona,LALIGA EA SPORTS,"Flair,Incisive Pass,Long Ball Pass,Press Proven,Tiki Taka",Trivela,82,69,86,87,77,78,80,83,72,68,66,70,53,77,91,89,84,64,78,88,87,89,87,79,88,90,82,76,76,77,72,74,82,89,74,,,,,
215698,56,87,Mike,Maignan,,,191,89,1,4,1,GK,Defense,,France,Milano FC,Serie A Enilive,"Cross Claimer,Far Throw",Deflector,84,83,85,88,64,84,65,62,15,64,20,16,15,15,64,61,38,16,18,65,30,40,60,56,85,68,25,23,16,19,17,35,82,39,83,84.0,83.0,85.0,84.0,88.0
212198,57,87,Bruno,Fernandes,,,179,69,4,3,1,CAM,Midfielder,CM,Portugal,Man Utd,Premier League,"Dead Ball,First Touch,Flair,Incisive Pass,Pinged Pass,Relentless",Long Ball Pass,70,85,88,83,65,75,72,68,84,86,85,87,90,87,89,90,85,82,82,94,83,86,78,76,90,79,63,62,71,66,63,84,70,95,61,,,,,
200104,60,87,Heung,Min Son,,,183,78,4,5,1,ST,Attack,LM,Korea Republic,Spurs,Premier League,"Quick Step,Rapid",Finesse Shot,87,89,81,85,42,73,86,88,90,89,89,83,75,91,83,72,87,74,84,82,87,85,81,74,90,88,39,45,34,33,72,62,82,88,69,,,,,
207865,61,87,Marquinhos,,,,183,75,3,3,1,CB,Defense,,Brazil,Paris SG,Ligue 1 McDonald's,"Aerial,Anticipate,Jockey,Power Header",Intercept,79,56,75,74,89,81,76,81,59,65,45,35,52,70,84,85,58,32,68,76,69,79,68,67,86,86,89,90,89,88,88,81,89,83,79,,,,,
237383,62,87,Alessandro,Bastoni,,,190,75,2,3,2,CB,Defense,,Italy,Lombardia FC,Serie A Enilive,"Anticipate,Jockey,Long Ball Pass,Pinged Pass",Intercept,75,43,75,76,87,83,72,78,34,59,48,44,50,39,80,84,64,41,72,72,74,83,64,61,87,85,88,87,87,85,86,83,89,81,83,,,,,
186942,63,87,İlkay,Gündoğan,,,180,80,4,4,1,CM,Midfielder,CDM,Germany,Manchester City,Premier League,"Incisive Pass,Press Proven,Tiki Taka",First Touch,62,83,85,87,74,73,65,60,85,81,84,75,80,86,89,85,86,80,77,86,88,91,77,77,86,87,78,77,78,67,50,70,67,75,73,,,,,
202811,65,87,Emiliano,Martínez,,,195,88,1,4,1,GK,Defense,,Argentina,Aston Villa,Premier League,Footwork,1v1 Close Down,84,82,83,86,56,87,55,57,16,62,16,13,43,12,61,59,22,20,22,67,23,43,54,49,84,69,21,25,20,20,26,37,79,40,78,84.0,82.0,83.0,87.0,86.0
224232,66,87,Nicolò,Barella,,,172,68,3,4,1,CM,Midfielder,CDM,Italy,Lombardia FC,Serie A Enilive,"Anticipate,Intercept,Pinged Pass,Press Proven,Slide Tackle",Relentless,81,78,83,86,80,82,85,78,76,80,79,80,73,83,88,85,79,67,79,84,82,88,91,92,90,86,84,80,83,81,60,87,79,93,74,,,,,
177683,67,87,Yann,Sommer,,,183,77,1,4,1,GK,Defense,,Switzerland,Lombardia FC,Serie A Enilive,,Far Reach,83,84,85,89,50,86,48,54,13,64,12,8,24,15,40,36,12,13,13,64,15,25,55,58,84,54,21,9,19,12,10,38,68,45,68,83.0,84.0,85.0,86.0,89.0
20801,68,86,Cristiano,Ronaldo,,,187,85,5,4,1,ST,Attack,,Portugal,Al Nassr,ROSHN Saudi League,"Acrobatic,Aerial,Flair,Power Header,Trickster,Trivela",Power Shot,77,88,77,80,34,77,73,80,87,92,85,83,90,90,79,70,79,76,78,78,77,86,76,61,87,92,29,24,32,24,87,62,94,80,79,,,,,
232580,69,86,Gabriel,,,,190,87,2,2,2,CB,Defense,,Brazil,Arsenal,Premier League,"Aerial,Power Header",Bruiser,69,41,63,61,86,82,61,76,37,62,30,28,40,44,80,76,47,27,38,59,54,71,51,37,85,74,86,87,86,86,87,87,86,71,86,,,,,
199503,70,86,Granit,Xhaka,,,186,80,3,3,2,CDM,Midfielder,CM,Switzerland,Leverkusen,Bundesliga,"Bruiser,Finesse Shot,Incisive Pass,Power Shot,Slide Tackle",Long Ball Pass,50,75,85,74,79,82,48,52,67,90,84,55,65,76,89,90,80,78,77,84,73,83,51,61,86,81,79,82,79,78,68,93,70,83,78,,,,,
243812,72,86,Rodrygo,,,,174,64,4,4,1,RW,Attack,"ST, RM",Brazil,Real Madrid,LALIGA EA SPORTS,"Dead Ball,Finesse Shot,Flair,Technical",,89,81,79,88,31,64,90,88,86,76,77,67,82,84,80,73,80,73,79,83,89,87,87,84,84,85,21,24,34,30,67,54,77,81,59,,,,,
210514,73,86,João,Cancelo,,,182,74,4,4,1,LB,Defense,"RB, RM",Portugal,Al Hilal,ROSHN Saudi League,"Block,First Touch,Flair,Technical,Trivela,Whipped Pass",,81,73,85,85,80,72,86,77,69,80,79,62,52,81,87,79,87,69,87,85,85,87,79,78,84,85,81,79,83,79,72,76,80,88,62,,,,,
241721,74,86,Rafael,Leão,,,188,81,5,4,1,LW,Attack,"LM, ST",Portugal,Milano FC,Serie A Enilive,"Finesse Shot,Flair,Incisive Pass,Quick Step,Trickster,Whipped Pass",Rapid,94,79,80,87,28,77,94,94,83,80,75,74,63,76,83,70,79,60,84,84,88,87,85,84,84,83,24,22,24,21,72,60,90,75,83,,,,,
210035,76,86,Grimaldo,,,,171,68,4,2,2,LM,Midfielder,"LB, LW",Spain,Leverkusen,Bundesliga,"Dead Ball,Finesse Shot",Whipped Pass,74,73,88,85,76,71,77,71,67,84,83,63,54,79,87,85,89,89,93,85,85,86,84,86,86,83,79,76,78,74,62,69,73,90,63,,,,,
177003,77,86,Luka,Modrić,,,172,66,4,4,1,CM,Midfielder,"CAM, CDM",Croatia,Real Madrid,LALIGA EA SPORTS,"Incisive Pass,Long Ball Pass,Technical,Whipped Pass",Trivela,72,76,88,87,71,64,75,69,72,79,82,76,83,76,90,90,85,78,86,90,84,90,92,92,85,91,79,70,73,72,55,62,67,76,58,,,,,
239837,79,86,Alexis,Mac Allister,,,176,72,3,3,1,CM,Midfielder,CDM,Argentina,Liverpool,Premier League,"Dead Ball,Incisive Pass,Power Shot,Press Proven",Pinged Pass,69,82,85,84,76,76,71,67,79,88,82,77,86,80,87,86,83,82,79,86,84,86,82,83,85,84,78,77,79,73,61,83,72,87,69,,,,,
204963,81,86,Carvajal,,,,173,73,3,3,1,RB,Defense,,Spain,Real Madrid,LALIGA EA SPORTS,"Block,Whipped Pass",,81,58,79,81,81,79,82,81,56,68,52,53,45,75,84,74,77,47,85,78,78,85,78,84,85,83,81,80,84,83,76,85,85,84,74,,,,,
231443,83,86,Ousmane,Dembélé,,,178,67,5,5,2,RW,Attack,"CAM, RM",France,Paris SG,Ligue 1 McDonald's,"Flair,Pinged Pass,Quick Step,Trickster",Rapid,92,75,82,88,41,57,94,91,72,83,74,76,75,80,83,78,84,64,86,85,89,87,94,81,82,82,38,42,42,34,43,54,65,69,52,,,,,
231281,86,86,Trent,Alexander-Arnold,,,180,72,3,4,1,RB,Defense,,England,Liverpool,Premier League,"Dead Ball,Incisive Pass,Long Ball Pass,Relentless",Whipped Pass,75,72,90,80,80,74,72,78,64,85,76,68,66,79,89,92,88,85,93,89,79,85,73,72,85,82,84,78,82,78,69,69,75,89,68,,,,,
251854,87,86,Pedri,,,,174,60,4,4,1,CM,Midfielder,LW,Spain,FC Barcelona,LALIGA EA SPORTS,"First Touch,Long Ball Pass,Relentless,Technical,Tiki Taka",Incisive Pass,77,69,82,88,70,74,79,76,72,68,68,56,53,79,88,86,79,62,68,88,87,88,88,90,87,87,73,68,77,65,50,62,73,87,73,,,,,
213331,89,86,Jonathan,Tah,,,195,94,2,3,1,CB,Defense,,Germany,Leverkusen,Bundesliga,Aerial,,71,38,60,62,86,84,53,86,32,60,26,53,38,36,78,68,37,27,39,56,60,67,49,40,84,79,83,87,87,81,87,83,86,69,92,,,,,
165153,90,86,Karim,Benzema,,,185,81,4,4,1,ST,Attack,,France,Al Ittihad,ROSHN Saudi League,"Finesse Shot,First Touch,Incisive Pass,Relentless,Trivela",,77,85,81,84,38,77,76,77,87,87,81,87,68,88,86,76,82,73,75,86,84,87,77,72,84,84,39,43,24,18,87,63,84,80,81,,,,,
239580,91,86,Bremer,,,,187,84,2,2,1,CB,Defense,,Brazil,Juventus,Serie A Enilive,"Aerial,Block,Bruiser,Intercept,Long Ball Pass,Power Header",,82,50,58,66,86,85,78,86,49,68,39,38,43,58,75,69,42,24,46,45,62,68,65,67,79,78,84,87,87,84,87,84,94,75,89,,,,,
212622,92,86,Joshua,Kimmich,,,177,75,3,4,1,RB,Defense,"CDM, CM",Germany,FC Bayern München,Bundesliga,"Anticipate,Finesse Shot,Press Proven,Relentless,Whipped Pass",Long Ball Pass,69,74,88,84,81,77,77,62,68,78,83,69,69,78,88,91,85,79,91,85,82,85,83,84,88,86,85,81,82,83,72,86,79,88,68,,,,,
230869,94,86,Unai,Simón,,,190,89,1,3,1,GK,Defense,,Spain,Athletic Club,LALIGA EA SPORTS,"1v1 Close Down,Footwork,Long Ball Pass,Pinged Pass",,85,81,78,86,49,85,48,50,14,59,13,17,24,14,38,34,20,14,16,48,12,16,37,47,82,46,26,11,18,12,18,29,74,44,76,85.0,81.0,78.0,85.0,86.0
167495,97,86,Manuel,Neuer,,,193,93,1,4,1,GK,Defense,,Germany,FC Bayern München,Bundesliga,"Far Throw,Long Ball Pass",Pinged Pass,83,81,90,83,49,88,48,50,13,68,16,11,49,12,60,68,14,11,15,70,30,44,51,35,84,70,30,17,10,11,25,29,77,43,80,83.0,81.0,90.0,88.0,83.0
208128,100,86,Hakan,Çalhanoğlu,,,178,69,4,5,1,CDM,Midfielder,CM,Turkey,Lombardia FC,Serie A Enilive,"Anticipate,First Touch,Technical",Incisive Pass,71,80,87,85,79,76,74,68,75,86,87,74,90,74,89,89,88,85,78,89,84,88,83,80,86,85,82,80,81,78,65,80,76,81,72,,,,,
197445,101,85,David,Alaba,,,180,78,3,4,2,CB,Defense,LB,Austria,Real Madrid,LALIGA EA SPORTS,"Anticipate,Dead Ball,Long Ball Pass",,79,71,83,80,85,77,78,79,62,82,78,67,79,73,88,80,76,85,83,78,77,83,76,78,88,84,87,89,84,83,77,77,86,73,78,,,,,
253163,101,85,Ronald,Araujo,,,188,79,2,3,1,CB,Defense,RB,Uruguay,FC Barcelona,LALIGA EA SPORTS,"Acrobatic,Anticipate,Jockey,Power Header,Slide Tackle",Block,82,53,64,62,85,84,76,86,56,68,35,38,43,56,75,66,47,45,58,59,55,68,56,55,84,76,85,84,85,85,85,87,92,72,87,,,,,
212194,101,85,Julian,Brandt,,,185,83,4,4,1,CAM,Midfielder,"RM, CM",Germany,Borussia Dortmund,Bundesliga,"Dead Ball,First Touch,Flair,Incisive Pass,Technical,Trivela",Tiki Taka,71,79,85,86,50,70,69,72,80,82,80,79,55,82,87,83,80,76,82,87,86,87,83,83,86,84,56,49,45,56,54,45,69,85,72,,,,,
240130,101,85,Éder,Militão,,,186,78,2,3,1,CB,Defense,,Brazil,Real Madrid,LALIGA EA SPORTS,"Aerial,Block,Intercept,Long Ball Pass,Power Header",,85,50,69,71,85,82,81,88,48,62,42,34,60,64,78,76,60,40,69,59,70,72,70,62,84,76,85,85,86,85,86,83,91,85,79,,,,,
247851,101,85,Bruno,Guimarães,,,182,74,3,2,1,CDM,Midfielder,CM,Brazil,Newcastle Utd,Premier League,"Flair,Incisive Pass,Long Ball Pass,Press Proven",Trivela,68,75,83,84,79,83,69,68,72,79,82,66,65,78,87,87,81,62,76,85,85,85,78,84,84,87,80,78,82,79,66,87,77,88,79,,,,,
233731,101,85,Alexander,Isak,,,192,77,4,5,1,ST,Attack,,Sweden,Newcastle Utd,Premier League,"Finesse Shot,First Touch,Flair,Rapid",,85,84,73,86,39,74,83,87,87,82,78,79,83,86,78,60,75,65,68,80,88,87,80,69,85,86,38,35,34,29,78,58,88,78,77,,,,,
215914,101,85,N'Golo,Kanté,,,168,70,2,3,1,CDM,Midfielder,CM,France,Al Ittihad,ROSHN Saudi League,"Press Proven,Relentless",Intercept,76,65,73,80,85,78,79,74,64,71,65,56,54,72,80,74,49,49,68,77,78,81,78,93,87,82,88,88,90,86,54,87,73,82,72,,,,,
241486,101,85,Jules,Koundé,,,180,75,3,3,1,RB,Defense,CB,France,FC Barcelona,LALIGA EA SPORTS,"Quick Step,Relentless,Slide Tackle",Jockey,84,45,70,75,86,80,85,83,47,48,40,32,43,47,82,75,55,26,68,62,72,77,71,74,86,82,86,87,86,84,80,78,90,78,80,,,,,
247635,101,85,Khvicha,Kvaratskhelia,,,183,70,5,5,1,LW,Attack,"RW, LM",Georgia,SSC Napoli,Serie A Enilive,"Finesse Shot,Flair,Incisive Pass,Technical,Trickster,Trivela",,86,79,80,86,41,71,85,86,80,78,83,64,65,84,83,76,83,65,78,83,88,87,86,75,84,79,40,38,39,34,62,62,78,77,70,,,,,
255253,101,85,Vitinha,,,,172,64,3,3,1,CM,Midfielder,CDM,Portugal,Paris SG,Ligue 1 McDonald's,"Finesse Shot,Intercept,Technical",Tiki Taka,72,77,84,87,73,68,75,69,77,76,83,62,73,77,88,85,81,68,78,85,87,87,91,88,85,88,80,74,77,68,52,77,66,81,59,,,,,
220697,101,85,James,Maddison,,,175,73,4,4,1,CAM,Midfielder,RM,England,Spurs,Premier League,"Dead Ball,Finesse Shot,Flair,Incisive Pass,Trivela",,71,81,86,86,54,63,77,66,80,83,83,77,74,85,86,85,86,86,83,88,86,88,84,83,80,88,44,59,65,42,35,70,57,78,53,,,,,
204485,101,85,Riyad,Mahrez,,,179,67,5,4,2,RM,Midfielder,RW,Algeria,Al Ahli,ROSHN Saudi League,"Finesse Shot,First Touch,Flair,Technical",,79,81,81,88,39,62,83,76,81,82,82,76,73,83,83,75,85,80,81,83,88,90,91,90,82,81,39,45,34,22,56,48,71,79,58,,,,,
262621,101,85,Giorgi,Mamardashvili,,,199,88,1,3,2,GK,Defense,,Georgia,Valencia CF,LALIGA EA SPORTS,"Cross Claimer,Far Throw",,86,83,72,85,48,85,48,48,9,54,7,7,11,8,20,20,11,10,13,34,11,22,40,26,74,26,8,5,12,10,14,25,71,45,74,86.0,83.0,72.0,85.0,85.0
225193,101,85,Mikel,Merino,,,189,83,3,3,2,CM,Midfielder,CAM,Spain,Arsenal,Premier League,"Aerial,Incisive Pass,Power Shot,Relentless",,72,79,82,82,83,82,72,72,79,85,79,58,70,83,86,84,80,69,77,83,83,85,74,73,86,80,85,80,84,76,87,83,88,83,80,,,,,
223848,101,85,Sergej,Milinković-Savić,,,192,95,4,5,1,CM,Midfielder,CDM,Serbia,Al Hilal,ROSHN Saudi League,"Aerial,First Touch,Incisive Pass,Power Header,Relentless,Trivela",,64,80,81,82,78,88,62,66,82,83,81,74,59,81,86,86,81,78,71,81,85,87,62,63,83,84,78,77,77,79,86,79,88,92,90,,,,,
